Manufacturer,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015*,2016*,2017*,2018*,2019*,2020*
Alcatel,,,,,"2,631,000","6,967,000",,,,,,,,,,,,,,,,,,,,,,,
Apple,,,,,,,,,,,,,,,,"2,300,000","12,000,000","24,889,000","46,598,300","89,263,200","130,133,200","150,785,900","191,426,000","225,850,600","216,064,000","214,924,400","219,048,400","219,475,100","199,800,000"
BBK,,,,,,,,,,,,,,,,,,,,,,,,"72,408,600",,,,,
Ericsson,,,,,"15,914,000","23,827,000","29,785,000","41,467,000","26,956,000",,,,,,,,,,,,,,,,,,,,
HTC,,,,,,,,,,,,,,,,,,,"24,688,400","43,266,900","32,121,800",,,,,,,,
Huawei,,,,,,,,,,,,,,,,,,,"23,814,700","40,663,400","47,288,300","53,295,100","70,499,000","104,094,700","132,824,900","150,534,300","202,901,400","240,615,500","182,600,000"
Lenovo,,,,,,,,,,,,,,,,,,,,,,"45,284,700",,"72,748,200",,,,,
Lenovo/Motorola,,,,,,,,,,,,,,,,,,,,,,,"84,029,000",,,,,,
LG,,,,,,,,,,,,"26,213,700","42,276,800","54,924,600","61,986,000","78,576,300","102,555,400","122,055,300","114,154,600","86,370,900","58,015,900","69,024,500","76,096,000",,,"55,900,000","40,800,000","29,200,000",
Micromax,,,,,,,,,,,,,,,,,,,,,,,"37,094,000",,,,,,
Microsoft,,,,,,,,,,,,,,,,,,,,,,,"185,660,000",,,,,,
Motorola,"4,000,000",,"12,000,000",,"60,000,000","25,328,000","32,319,000","47,818,000","60,094,000","59,097,000","64,640,000","75,177,000","104,124,000","144,920,000","209,251,000","164,307,000","106,590,000","58,475,200","38,553,700","40,269,000","33,916,300",,,,,,,,
NEC,"2,000,000",,"6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Nokia,"3,000,000","5,000,000","9,000,000","13,000,000","18,000,000","20,593,000","37,374,000","76,335,000","126,369,000","139,672,000","151,422,000","180,672,000","207,231,000","265,615,000","344,916,000","435,453,000","472,315,000","440,881,600","461,318,200","422,478,300","333,938,000","250,793,100",,,,,,,
Oppo,,,,,,,,,,,,,,,,,,,,,,,,,"85,299,500","112,124,000","118,837,500","118,693,200","111,800,000"
Others,,,,,,,,,,,,,,,,,"248,189,000","299,179,200","488,569,300","597,326,900","587,399,300","613,710,000","629,360,000","635,368,500","682,314,300","582,104,700","566,249,000","536,430,000","454,800,000"
Panasonic,,,,,,"8,627,000","13,397,000","15,581,000",,,,,,,,,,,,,,,,,,,,,
RIM,,,,,,,,,,,,,,,,"12,000,000","23,000,000","34,000,000","47,451,600","51,541,900","34,210,300","18,000,000","8,000,000","4,000,000","2,000,000",,,,
Samsung,,,,,,,"4,686,000","17,687,000","20,639,000","28,234,000","41,684,000","54,475,000","85,238,000","103,754,000","116,480,000","154,541,000","199,182,000","235,772,000","281,065,800","313,904,200","384,631,200","444,444,200","392,546,000","320,400,000","306,446,600","321,263,300","295,043,700","296,194,000","253,000,000"
Siemens,,,,,,,,,"26,989,000","29,753,000","34,618,000","43,754,000","48,456,000","28,591,000",,,,,,,,,,,,,,,
Sony,,,,,,,,,,,,,,,,,,,,,,"37,595,700","37,791,000",,,,,,
Sony Ericsson,,,,,,,,,,,,,,,,"93,414,500","54,873,400","41,819,200","32,597,500",,,,,,,,,,
TCL,,,,,,,,,,,,,,,,,,,,,"37,176,600","49,531,300","64,026,000",,,,,,
Vivo,,,,,,,,,,,,,,,,,,,,,,,,,,"99,684,800",,,
Xiaomi,,,,,,,,,,,,,,,,,,,,,,,"56,529,000","65,618,600",,,"122,387,000","126,049,200","145,800,000"
Yulong,,,,,,,,,,,,,,,,,,,,,,"32,601,400",,,,,,,
ZTE,,,,,,,,,,,,,,,,,,,"28,768,700","56,881,800","67,344,400","59,898,800","53,910,000",,,,,,
Total,,,,,,"107,818,000","162,856,000","283,581,000","412,731,000","399,583,000","423,418,500","519,985,500","674,001,900","816,562,900","990,862,500","1,152,839,800","1,222,245,200","1,211,236,600","1,596,802,400","1,774,564,100","1,746,175,600","1,806,964,700","1,878,968,000","1,423,900,300","1,495,358,000","1,536,535,500","1,555,267,000","1,540,657,000","1,347,900,000"
